character_1;character_2;character_3;character_4;character_5;character_6;character_7;character_8;character_9;character_10;character_11;character_12;placement;win
TFT13_Amumu;TFT13_Vladimir;TFT13_Tristana;TFT13_Prime;TFT13_FlyGuy;TFT13_Ekko;TFT13_Corki;TFT13_Viktor;;;;;4;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;TFT13_LeBlanc;TFT13_Jinx;;;;6;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;TFT13_LeBlanc;TFT13_Jinx;;;;1;1
TFT13_Ziggs;tft13_swain;TFT13_Blitzcrank;TFT13_Cassiopeia;TFT13_Elise;TFT13_Silco;TFT13_Garen;TFT13_DrMundo;TFT13_Malzahar;;;;3;0
TFT13_Morgana;TFT13_Vladimir;tft13_swain;TFT13_Cassiopeia;TFT13_Elise;TFT13_Garen;TFT13_Zoe;TFT13_LeBlanc;TFT13_Sion;;;;5;0
TFT13_Morgana;TFT13_Vladimir;TFT13_Cassiopeia;TFT13_NunuWillump;TFT13_Heimerdinger;TFT13_Elise;TFT13_Garen;TFT13_LeBlanc;TFT13_Sion;;;;7;0
TFT13_NunuWillump;TFT13_Elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Jayce;TFT13_Lieutenant;TFT13_Caitlyn;TFT13_Viktor;TFT13_JayceSummon;;;;2;0
TFT13_Trundle;TFT13_Tristana;TFT13_Gangplank;TFT13_Elise;TFT13_Ekko;TFT13_Corki;TFT13_Vi;TFT13_Rumble;;;;;8;0
TFT13_Irelia;TFT13_Vex;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Heimerdinger;tft13_elise;TFT13_Ambessa;TFT13_Illaoi;TFT13_Zoe;TFT13_Jayce;TFT13_JayceSummon;2;0
TFT13_Amumu;TFT13_Nocturne;TFT13_Akali;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_TwistedFate;TFT13_Ambessa;TFT13_Malzahar;;;;;8;0
TFT13_Tristana;TFT13_Urgot;TFT13_Ezreal;TFT13_Nami;TFT13_FlyGuy;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;TFT13_Viktor;;;;4;0
TFT13_Darius;TFT13_Draven;TFT13_Blue;TFT13_Red;TFT13_Urgot;TFT13_Prime;TFT13_Gangplank;TFT13_Vi;TFT13_Lieutenant;TFT13_MissMage;;;5;0
TFT13_Amumu;TFT13_Nocturne;TFT13_Zeri;TFT13_Akali;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_Garen;TFT13_Warwick;;;;;3;0
TFT13_Tristana;tft13_swain;TFT13_Nami;TFT13_TwistedFate;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;TFT13_Vi;TFT13_Jayce;TFT13_JayceSummon;;;6;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ambessa;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;TFT13_LeBlanc;tft13_jinx;;;;1;1
TFT13_Rell;TFT13_Urgot;TFT13_NunuWillump;tft13_elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Vi;TFT13_Mordekaiser;TFT13_Caitlyn;TFT13_Mordekaiser;;;7;0
TFT13_Darius;TFT13_Draven;TFT13_Red;TFT13_Urgot;TFT13_Prime;TFT13_Gangplank;TFT13_Vi;TFT13_Lieutenant;TFT13_Warwick;;;;2;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;tft13_jinx;TFT13_Warwick;;;;4;0
TFT13_Amumu;TFT13_Nocturne;TFT13_Akali;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_FlyGuy;TFT13_TwistedFate;TFT13_Ambessa;TFT13_Malzahar;;;;3;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;TFT13_LeBlanc;tft13_jinx;;;;6;0
TFT13_Amumu;TFT13_Nocturne;TFT13_Vladimir;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_TwistedFate;TFT13_Ambessa;;;;;;8;0
TFT13_Zyra;TFT13_Shooter;TFT13_Urgot;TFT13_NunuWillump;tft13_elise;TFT13_Garen;TFT13_DrMundo;TFT13_Twitch;TFT13_MissMage;;;;5;0
TFT13_Fish;TFT13_Sett;TFT13_Chainsaw;TFT13_NunuWillump;tft13_elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Caitlyn;;;;;1;1
TFT13_Vladimir;TFT13_Blitzcrank;TFT13_Cassiopeia;tft13_elise;TFT13_Silco;TFT13_Garen;TFT13_DrMundo;TFT13_LeBlanc;TFT13_Sion;;;;7;0
TFT13_Blue;TFT13_Trundle;TFT13_Gangplank;TFT13_Elise;TFT13_Ekko;TFT13_Corki;TFT13_Rumble;TFT13_MissMage;;;;;7;0
TFT13_Tristana;TFT13_Urgot;TFT13_Nami;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;;;;;;;6;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ambessa;TFT13_Illaoi;TFT13_Zoe;TFT13_LeBlanc;TFT13_Jinx;TFT13_LeBlanc;;;1;1
TFT13_Blue;TFT13_Red;TFT13_Prime;TFT13_Camille;TFT13_Gremlin;TFT13_Beardy;TFT13_Ekko;TFT13_Jinx;;;;;8;0
